Date,Open,High,Low,Close,Adj Close,Volume
2021-11-02,386.799988,389.540009,386.750000,389.049988,388.553711,25135300
2021-11-03,389.549988,393.609985,388.480011,393.179993,392.678467,33748900
2021-11-04,394.480011,399.200012,393.920013,398.220001,397.712036,40265300
2021-11-05,400.040009,400.989990,397.160004,398.600006,398.091553,43341700
2021-11-08,398.570007,399.619995,397.399994,398.059998,397.552246,29256300
2021-11-09,399.160004,399.570007,393.920013,395.320007,394.815735,50490700
2021-11-10,392.470001,395.359985,387.529999,389.510010,389.013153,54937400
2021-11-11,392.570007,392.750000,390.239990,390.589996,390.091766,32243000
2021-11-12,391.769989,395.250000,390.130005,394.700012,394.196533,34669800
2021-11-15,395.910004,396.239990,392.100006,394.609985,394.106628,33716900
2021-11-16,393.859985,397.929993,393.660004,397.420013,396.913055,27872900
2021-11-17,397.750000,399.720001,396.640015,397.630005,397.122803,28703300
2021-11-18,399.730011,402.269989,397.450012,401.750000,401.237518,45721500
2021-11-19,403.429993,405.299988,402.579987,403.989990,403.474670,45191700
2021-11-22,405.570007,408.709991,399.190002,399.299988,398.790649,61715400
2021-11-23,398.109985,400.230011,392.920013,397.480011,396.972992,70098700
2021-11-24,394.929993,399.049988,392.540009,398.760010,398.251343,46954400
2021-11-26,396.109985,397.540009,389.769989,391.200012,390.700989,51533300
2021-11-29,395.890015,400.730011,395.140015,399.690002,399.180145,54447100
2021-11-30,398.779999,401.190002,391.750000,393.820007,393.317657,81332700
2021-12-01,398.279999,400.480011,386.640015,387.119995,386.626190,77766500
2021-12-02,385.799988,391.739990,384.339996,389.910004,389.412628,84416600
2021-12-03,391.309998,392.339996,378.899994,383.130005,382.641296,105291200
2021-12-06,383.630005,387.600006,379.299988,386.200012,385.707367,67588800
2021-12-07,393.029999,398.459991,392.989990,397.829987,397.322510,56005300
2021-12-08,398.170013,399.820007,396.220001,399.609985,399.100250,39204000
2021-12-09,398.350006,400.200012,393.529999,393.730011,393.227783,49973700
2021-12-10,396.619995,398.279999,393.359985,398.010010,397.502319,52513100
2021-12-13,398.000000,398.329987,391.880005,392.260010,391.759644,50166400
2021-12-14,387.299988,390.089996,383.630005,388.200012,387.704834,75199200
2021-12-15,387.940002,397.420013,383.880005,397.049988,396.543518,73858000
2021-12-16,398.040009,398.480011,385.209991,386.839996,386.346558,82591400
2021-12-17,383.329987,389.190002,381.769989,384.910004,384.419006,80492500
2021-12-20,379.570007,381.500000,377.470001,380.690002,380.690002,65336800
2021-12-21,384.049988,389.529999,380.200012,389.209991,389.209991,48899500
2021-12-22,388.910004,394.160004,388.230011,393.950012,393.950012,37042200
2021-12-23,394.309998,398.429993,394.140015,396.920013,396.920013,29595500
2021-12-27,398.250000,403.480011,398.220001,403.480011,403.480011,32820700
2021-12-28,404.399994,404.579987,400.709991,401.609985,401.609985,33113700
2021-12-29,401.750000,403.049988,399.109985,401.549988,401.549988,32248500
2021-12-30,401.329987,403.570007,399.750000,400.350006,400.350006,23850100
2021-12-31,399.660004,401.059998,397.339996,397.850006,397.850006,34752900
2022-01-03,399.049988,401.940002,396.880005,401.679993,401.679993,40575900
2022-01-04,402.239990,402.279999,393.290009,396.470001,396.470001,58027200
2022-01-05,394.739990,395.890015,384.029999,384.290009,384.290009,75739800
2022-01-06,382.420013,387.350006,380.130005,384.019989,384.019989,70814300
2022-01-07,384.029999,385.760010,378.040009,379.859985,379.859985,72614000
2022-01-10,374.820007,380.640015,369.309998,380.109985,380.109985,91770500
2022-01-11,379.359985,385.989990,377.220001,385.820007,385.820007,68295700
2022-01-12,388.459991,390.200012,385.010010,387.350006,387.350006,54576400
2022-01-13,388.769989,389.470001,376.700012,377.660004,377.660004,77994000
2022-01-14,375.070007,380.350006,374.859985,380.010010,380.010010,80076100
2022-01-18,374.040009,376.220001,369.769989,370.549988,370.549988,75450900
2022-01-19,372.149994,374.690002,366.209991,366.480011,366.480011,81791500
2022-01-20,369.790009,373.869995,361.170013,361.720001,361.720001,88610700
2022-01-21,359.470001,362.179993,351.399994,351.690002,351.690002,143388900
2022-01-24,345.910004,353.980011,334.149994,353.299988,353.299988,198685800
2022-01-25,346.670013,351.029999,341.679993,345.109985,345.109985,124398400
2022-01-26,352.910004,356.880005,340.779999,344.570007,344.570007,146559500
2022-01-27,349.399994,351.269989,340.049988,341.100006,341.100006,95255700
2022-01-28,343.029999,352.019989,337.950012,351.799988,351.799988,108167900
